Ссылка,Метро,Время до метро,Количество комнат,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Тип жилья,Высота потолков,Ванная,Вид из окна,Цена
https://www.cian.ru/sale/flat/249864148/,Рижская,6.0,2.0,53.0,28.0,15,16,1994.0,Вторичка,2.48,1 раздельный,Во двор,15300000
https://www.cian.ru/sale/flat/256059039/,Выставочная,4.0,2.0,61.5,,15,77,2019.0,Вторичка Апартаменты,,1 совмещенный,,30500000
https://www.cian.ru/sale/flat/252837984/,Шелепиха,2.0,4.0,113.5,53.9,8,14,2017.0,Вторичка,,"1 совмещенный, 1 раздельный",,42750000
https://www.cian.ru/sale/flat/256466838/,Давыдково,,4.0,98.34,62.7,21,30,2022.0,Новостройка,3.3,3 раздельных,,29770160
https://www.cian.ru/sale/flat/246664657/,Площадь Ильича,17.0,1.0,17.6,17.6,2,7,2019.0,Вторичка Апартаменты,2.64,1 совмещенный,На улицу,5400000
https://www.cian.ru/sale/flat/153034493/,Улица 1905 года,15.0,3.0,92.0,67.5,1,5,1929.0,Вторичка,,1 раздельный,Во двор,21000000
https://www.cian.ru/sale/flat/254401415/,Пролетарская,3.0,2.0,40.8,25.0,2,9,1966.0,Вторичка,,1 раздельный,На улицу,11500000
https://www.cian.ru/sale/flat/253663237/,Парк Культуры,5.0,4.0,205.1,130.2,8,8,,Вторичка,3.3,"2 совмещенных, 1 раздельный",На улицу и двор,226830951
https://www.cian.ru/sale/flat/249667646/,Парк Культуры,6.0,,435.1,,6,6,2006.0,Вторичка Пентхаус,,,На улицу и двор,1040577630
https://www.cian.ru/sale/flat/211170388/,Китай-город,11.0,,200.0,,3,5,1900.0,Вторичка,,2 раздельных,Во двор,55000000
https://www.cian.ru/sale/flat/250214936/,Лубянка,1.0,2.0,105.8,,2,5,2015.0,Вторичка Апартаменты,,"1 совмещенный, 1 раздельный",Во двор,155688330
https://www.cian.ru/sale/flat/256160896/,Фрунзенская,7.0,4.0,205.9,100.0,5,11,,Вторичка,,3 совмещенных,,250000000
https://www.cian.ru/sale/flat/219707740/,Минская,3.0,2.0,113.7,44.0,17,24,,Вторичка,3.2,,На улицу,34000000
https://www.cian.ru/sale/flat/256425129/,Водный стадион,4.0,2.0,54.7,33.8,1,5,1958.0,Вторичка,2.65,1 раздельный,Во двор,10800000
